Flight Date/Time,Model,Aircraft ID,Route,Takeoffs (D/N),Full Stop (D/N),Inst App (D/N),SE,ME,Complex,Turbine,Rotorcraft,Sim/FTD,X/Ctry,Actual Inst (D/N),Sim Inst (D/N),Total Time (D/N),PIC Time (D/N),Dual Received,As Instructor,Flight Remarks
"Apr 22, 2012",DA-40,N805ER,KEMT - F70 - KEMT,2,2,,1.6,,1.6,,,,1.6,,,1.6,1.6,,,
"Apr 8, 2012",DA-40,N805ER,KEMT,5,5,,1.0,,1.0,,,, ,,,1.0,1.0,,,Airplane Make and Model checkout
"Mar 21, 2010",DA-40,N661DS,KEMT,3,3,,1.3,,,,,, ,,,1.3,1.3,,,
"Apr 26, 2009",177B,N13HK,KWHP - KTSP - KWHP,2,2,,2.0,,2.0,,,,2.0,,,2.0,2.0,,,
"Mar 22, 2009",177B,N13HK,KWHP,3,3,,0.7,,0.7,,,, ,,,0.7,0.7,,,
"Dec 23, 2008",177B,N13HK,KWHP - KPOC - KWHP,2,2,,1.1,,1.1,,,, ,,,1.1,1.1,,,
"Nov 30, 2008",177B,N13HK,KWHP - L70 - KWHP,2,2,,1.4,,1.4,,,, ,,,1.4,1.4,,,
"Mar 20, 2008",177B,N13HK,KWHP - KAPV - KWHP,2,2,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,
"Mar 15, 2008",177B,N13HK,KWHP,5,5,,0.7,,0.7,,,, ,,,0.7,0.7,,,
"Jul 8, 2007",177B,N13HK,KWHP - KAVX - KWHP,2,2,,1.4,,1.4,,,,1.4,,,1.4,1.4,,,
"Jul 5, 2007",177B,N13HK,KWHP,7,7,,1.3,,1.3,,,, ,,,1.3,1.3,,,VFR NIGHT CHECHOUT
"Apr 24, 2007",177B,N13HK,KWHP - 3O8 - KWHP,2,2,,3.5,,3.5,,,,3.5,,,3.5,3.5,,,
"Apr 3, 2007",177B,N13HK,KWHP,5,5,,0.5,,0.5,,,, ,,,0.5,0.5,,,
"Mar 4, 2007",R22,N16HF,KEMT,,,,0.5,,,,0.5,, ,,,0.5,,,,
"Feb 19, 2007",R22,N16HF,KEMT,1,1,,0.7,,,,0.7,, ,,,0.7,,,,
"Feb 14, 2007",177B,N13HK,KWHP - O60 - KWHP,2,2,,7.6,,7.6,,,,7.6,,,7.6,7.6,,,
"Feb 5, 2007",177B,N13HK,KWHP - KHII - KWHP,2,2,,5.4,,5.4,,,,5.4,,,5.4,5.4,,,
"Dec 30, 2006",177B,N13HK,KWHP - KAVX - KWHP,2,2,,1.7,,1.7,,,, ,,,1.7,1.7,,,
"Nov 30, 2006",150J,N60760,SPENCEPOND,12,12,,2.5,,,,,, ,,,2.5,2.5,,,MOUNTAIN LAKES
"Nov 29, 2006",150J,N60760,SPENCEPOND,10,10,,1.5,,,,,, ,,,1.5,,,,
"Nov 29, 2006",150J,N60760,SPENCEPOND,4,4,,1.0,,,,,, ,,,1.0,1.0,,,ASES CHECKRIDE
"Nov 28, 2006",150J,N60760,SPENCEPOND,20,20,,3.9,,,,,, ,,,3.9,,,,
"Nov 26, 2006",177B,N13HK,KWHP - KEMT - KWHP,,,,1.0,,1.0,,,, ,,,1.0,1.0,,,
"Nov 20, 2006",177B,N13HK,KWHP - KOXR - KWHP,2,2,1,0.6,,0.6,,,, ,,0.6,0.6,0.6,,,
"Nov 14, 2006",177B,N13HK,KWHP - KPSP - KWHP,2,2,,2.5,,2.5,,,, ,,,2.5,2.5,,,
"Nov 7, 2006",177B,N13HK,KWHP - KEMT - KWHP,2,2,,0.5,,0.5,,,, ,,,0.5,0.5,,,
"Oct 17, 2006",177B,N13HK,KWHP - KEMT - KCCB - KWHP,3,3,,1.5,,1.5,,,, ,,,1.5,1.5,,,
"Sep 27, 2006",177B,N13HK,KWHP - L52 - KWHP,2,2,,3.1,,3.1,,,, ,,,3.1,3.1,,,
"Sep 13, 2005",177B,N13HK,KWHP,1,1,,1.2,,1.2,,,, ,,,1.2,1.2,,,
"Sep 4, 2005",177B,N13HK,KWHP,1,1,,1.2,,1.2,,,, ,,,1.2,1.2,,,
"Jul 20, 2005",,F141,KEMT,,,6,,,,,,1.4, ,,1.4,,,,,
"Jul 19, 2005",177B,N13HK,KWHP - KAPV - KWHP,4,4,,2.5,,2.5,,,, ,,,2.5,2.5,,,
"Jun 17, 2005",172N,N5323D,KEMT,4,4,,1.4,,,,,, ,,,1.4,1.4,,,
"May 29, 2005",172M,N61848,KCCB,1,1,,0.7,,,,,, ,,,0.7,0.7,,,SPIN STALL TRAINING
"Apr 10, 2005",172N,N172ST,KEMT,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
"Jan 30, 2005",172N,N172ST,KEMT,1,1,,0.6,,,,,, ,,,0.6,0.6,,,
"Jan 23, 2005",172K,N79201,KEMT,3,3,,0.8,,,,,, ,,,0.8,0.8,,,
"Aug 16, 2003",172N,N172ST,KEMT,5,5,,1.4,,,,,, ,,,1.4,1.4,,,
"Aug 16, 2003",172N,N172ST,KEMT,1,1,,0.5,,,,,, ,,,0.5,0.5,,,JULIAN'S FIRST FLIGHT
"Apr 6, 2003",PA-28-161,N8091H,KEMT,4,4,3,2.0,,,,,, ,,1.8,2.0,2.0,,,
"Dec 24, 2001",172K,N79201,KEMT,1,1,,0.8,,,,,, ,,,0.8,0.8,,,
"Jul 23, 2001",172P,N96570,KLGB,1,1,,0.9,,,,,, ,,,0.9,0.9,,,
"Jul 20, 2001",,N310,KLGB,,,,,,,,,1.1, ,,1.1,,,,,
"Jul 19, 2001",172P,N96570,KLGB,1,1,,1.0,,,,,, ,,,1.0,1.0,,,
"Jul 16, 2001",172P,N96570,KLGB,1,1,,1.3,,,,,, ,,,1.3,1.3,,,
"Jul 2, 2001",172P,N96570,KLGB,1,1,,1.3,,,,,, ,,,1.3,1.3,,,
"May 8, 2001",PA-28-151,N5415F,KLGB,1,1,,1.0,,,,,, ,,,1.0,1.0,,,
"Jul 31, 2000",PA-28R-200,N39WT,KPOC,4,4,,1.2,,1.2,,,, ,,,1.2,1.2,,,CPL CHECKRIDE
"Jul 30, 2000",PA-28R-200,N39WT,KPOC - KCNO - KPOC,1,1,,1.1,,1.1,,,, ,,,1.1,1.1,,,
"Jul 26, 2000",PA-28R-200,N39WT,KPOC - KCNO - KPOC,2,2,3,1.9,,1.9,,,, ,,1.9,1.9,1.9,,,
"Jul 25, 2000",PA-28R-200,N15379,KPOC,1,1,,1.2,,1.2,,,, ,,,1.2,1.2,,,
"Jul 24, 2000",PA-28R-201,N47455,KPOC,1,1,,1.3,,,,,, ,,,1.3,1.3,,,LAZY 8 8 O PYLONS SHORT / SOFT FIELD LANDINGS
"Jul 21, 2000",PA-28R-200,N39WT,KPOC,4,4,,1.3,,1.3,,,, ,,,1.3,1.3,,,Chandelles
"Jul 20, 2000",PA-28R-200,N39WT,KPOC,1,1,,1.2,,1.2,,,, ,,,1.2,1.2,,,
"Apr 17, 2000",PA-28-181,N8395L,KPOC,1,1,,1.1,,,,,, ,,,1.1,1.1,,,
"Apr 5, 2000",172,PH-AMB,EHLE,1,1,,1.1,,,,,, ,,,1.1,1.1,,,
"Apr 4, 2000",172,PH-AMB,EHLE,1,1,,1.2,,,,,, ,,1.2,1.2,1.2,,,
"Mar 25, 2000",172,PH-AMB,EHLE,1,1,,1.0,,,,,, ,,0.8,1.0,1.0,,,
"Mar 17, 2000",TB-20,N711RP,KVNY,1,1,,1.4,,,,,, ,,,1.4,1.4,,,
"Mar 15, 2000",TB-20,N711RP,KVNY,1,1,,1.3,,,,,, ,,,1.3,1.3,,,
"Dec 22, 1999",TB-20,N711RP,KVNY,1,1,,0.8,,,,,, ,,,0.8,0.8,,,
"Dec 17, 1999",172R,N23841,KVNY,1,1,,1.5,,,,,, ,,,1.5,1.5,,,
"Aug 31, 1999",172,PH-AMB,EHLE,1,1,,1.0,,,,,, ,,,1.0,1.0,,,SIGHTSEEING
"Aug 31, 1999",172,PH-AMB,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,0.5,
"Aug 31, 1999",172,PH-AMB,EHLE,1,1,,2.0,,,,,, ,,,2.0,2.0,,,BANNER TOWING ENDORSEMENT
"Aug 29, 1999",23,PH-MBS,EHLE,1,1,,0.3,,,,,, ,,,0.3,0.3,,0.3,
"Aug 28, 1999",TB-20,N711RP,KVNY - KLGB - KVNY,1,1,,2.6,,,,,,2.6,,,2.6,2.6,,,
"Aug 21, 1999",172,PH-TWB,EHLE - EHAL - EHTX - EHLE,3,3,,2.3,,,,,,2.3,,,2.3,2.3,,2.3,
"Aug 16, 1999",172,PH-AMB,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,0.5,
"Aug 13, 1999",DA-20,PH-USJ,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,0.5,
